CO2_inlet,gas_flow_kg_s,solvent_flow_kg_s,MEA_mass_fraction,absorber_temperature_K,pressure_Pa,column_height_m,column_area_m2,mass_transfer_coefficient,regeneration_temperature_K,feed_temperature_K,initial_loading,capture_percentage,CO2_absorbed_mol_s,CO2_desorbed_mol_s,rich_loading,lean_loading,reboiler_duty_kW,specific_energy_GJ_per_tonne_CO2
0.06483022772715541,110.25345190829202,179.34007503130343,0.3961385601137368,314.9203896906331,167652.56695703624,21.793414740938097,5.016664318015148,0.012281938014566195,389.596961493169,317.6703968993031,0.18055884727742105,100.0,7.147756394919549,7.1430811829752985,0.1867004465881884,0.18055884727742105,61819.138841143234,196.64639824852853
0.19295180267617423,121.28495051746083,165.42667669045625,0.35398792931255085,317.6654055832556,118994.84364235592,15.873214708275064,13.268295730589204,0.008996921745081717,402.69506332614117,309.0487183289947,0.23743280923776092,100.0,23.402149839834657,23.398825649094075,0.261840147588035,0.23743280923776092,76558.94687056585,74.34478687421318
0.1284256473709312,110.28568772989868,139.32844241259505,0.3919277918648949,310.50357992739305,120879.19404848841,25.876347905941515,12.753011660703212,0.01787598829770307,394.6753504022609,313.7147879580678,0.15295345177532707,100.0,14.163510842460603,14.164292020365597,0.16879761791742032,0.15295345177532707,55296.773013134734,88.70611255919208
0.09301933893246736,129.0180492425262,179.60807391703142,0.2995207847583426,308.67786364214663,166924.8630959491,15.596685871495296,9.008520382363889,0.016282199376897226,401.21142947688907,317.5507628227266,0.1627044933403474,100.0,12.001173650896307,12.002758492341156,0.17633301051617073,0.1627044933403474,72587.26052424706,137.41304705152723
0.16365053549843056,108.66720549354739,139.37142817349212,0.34823988281829166,320.6270830196978,124785.07866502588,19.144956916061997,6.313236470436252,0.01088914605801632,399.9411183381871,309.87161253048623,0.16818027462899865,100.0,17.783446370137025,17.781829349139493,0.1905594736362592,0.16818027462899865,61852.82052806222,79.03722830662193
0.1502201092575426,86.42636358164766,120.79119045459012,0.31749145486540953,311.5393795015572,142963.82460499665,17.66602655069992,8.266876705495882,0.012347578485932504,401.1193936346113,319.1889709068046,0.1602922735148641,100.0,12.982977779967213,12.978592227149948,0.18096418533772063,0.1602922735148641,48600.21865568382,85.08622719001197
0.1865114869804081,114.89573820121757,158.628372543789,0.21782871587688346,318.4040291575448,131672.96188827907,15.286901911365918,10.362004435135773,0.019037581163845296,402.13100095541864,313.1573631183075,0.20277041001178048,67.28114393055719,14.41792862345746,14.413501175947845,0.22825008281075843,0.20277041001178048,68670.47457766852,108.255306099611
0.14134980564768848,130.45042503124097,148.9669155516828,0.3232201428511795,307.1888314443655,106210.48817578354,25.41746867253751,10.005791901757625,0.014503164418769664,388.55879478239456,322.44140243687247,0.17683340703091582,100.0,18.439142224824266,18.439922615086186,0.2002266918979406,0.17683340703091582,49231.862242622046,60.6646646183258
0.1396711728717262,137.92189436863677,158.1391955314515,0.25916126820249735,311.04471021703404,113913.58174135334,25.665728529890714,10.93681680294981,0.006348964756212445,390.4870225936154,318.78774474515205,0.1849903522476781,100.0,19.263712751157826,19.25985381864818,0.21369576021241302,0.1849903522476781,56367.840837881144,66.50082673441999
0.05984995106401477,97.8824452947502,134.26658181534498,0.20014581462263425,313.62416082998016,148387.9647047924,28.15656963124004,11.05986302512189,0.01915539535148044,402.3879856424099,317.56358797988565,0.1689840801349568,0.0,0.0,0.0022220971245980816,0.16898913103705435,0.1689840801349568,53596.026982608564,548047.4875613682
